request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_106,363.03,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Only EUR 363.03 is safe today: paying earlier would take the balance below the EUR 1,200 minimum (lowest projected balance EUR 1,563.03 on 12 December 2024); after the EUR 1,815 salary on 15 December 2024 the full payment keeps the minimum protected."
request_107,2457.13,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.50,"Reduce the quick-service meal to EUR 42.50, then use 3 installments of EUR 878.59, starting 8 May 2025 (total EUR 2,635.77). Paying EUR 2,534.40 today is not safe (only EUR 2,457.13 is available above the EUR 1,600 minimum); the installments are covered by the EUR 2,123 salary on 15 May 2025 and keep at least EUR 1,600 available."
request_108,1719.86,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 1,719.86 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at ZAR 25,819.86 on 11 July 2026 against the ZAR 24,100 minimum, and the ZAR 20,064 salary on 15 July 2026."
request_109,544.42,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10081,"Stop the video streaming plan, then use 3 installments of EUR 645.98, starting 18 March 2024 (total EUR 1,937.94). Paying EUR 1,863.40 today is not safe (only EUR 544.42 is available above the EUR 1,700 minimum); the installments are covered by the EUR 2,395.68 salary on 15 March 2024 and keep at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025 (total ZAR 23,246.07). You do not accept a single full payment; the installments are covered by the ZAR 16,720 invoice payment on 15 August 2025 and keep at least ZAR 11,200 available."
request_111,16409241.56,affordable_with_plan,full_payment,2026-04-03:16625000,,stop:event_10264,"Stop the online backup subscription, then pay IDR 16,625,000 today. Without these changes only IDR 16,409,241.56 is safe today and the full amount is not safe within the forecast window; with them the balance stays above the IDR 23,022,800 minimum."
request_112,259.74,affordable_with_plan,full_payment,2024-06-05:271.70,2024-06-15,reduce_to:event_10400:13,"Reduce the weekend food delivery to EUR 13, then pay EUR 271.70 today. Without these changes only EUR 259.74 is safe today and the full amount is not safe until 15 June 2024, past the 14 June 2024 deadline; with them the balance stays above the EUR 500 minimum, helped by the EUR 627 salary on 15 June 2024."
request_113,23820.51,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Wait until 15 October 2026, then pay INR 36,500 in full. Only INR 23,820.51 is safe today: paying earlier would take the balance below the INR 82,300 minimum (lowest projected balance INR 106,120.51 on 14 September 2026); after the INR 107,995.68 salary on 15 September 2026 the full payment keeps the minimum protected."
request_114,63100.16,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,stop:event_10559,"Stop the streaming subscription, then pay INR 65,300 today. Without these changes only INR 63,100.16 is safe today and the full amount is not safe until 15 January 2026, past the 14 January 2026 deadline; with them the balance stays above the INR 113,400 minimum, helped by the INR 148,200 salary on 15 January 2026."
request_115,11611.85,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Only INR 11,611.85 is safe today: paying earlier would take the balance below the INR 38,800 minimum (lowest projected balance INR 50,411.85 on 13 September 2024); after the INR 59,000 salary on 15 September 2024 the full payment keeps the minimum protected."
request_116,6154.33,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 6,154.33 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 86,454.33 on 13 February 2025 against the INR 80,300 minimum, and the INR 124,000 salary on 15 February 2025."
request_117,860.46,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the family streaming plan, then pay EUR 880 today. Without these changes only EUR 860.46 is safe today and the full amount is not safe until 15 July 2026, past the 14 July 2026 deadline; with them the balance stays above the EUR 1,000 minimum, helped by the EUR 1,188 salary on 15 July 2026."
request_118,649.4,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,reduce_to:event_10912:11,"Reduce the streaming subscription to EUR 11, then use 3 installments of EUR 255.87, starting 7 December 2024 (total EUR 767.61). Paying EUR 738.10 today is not safe (only EUR 649.40 is available above the EUR 600 minimum); the installments are covered by the EUR 759 salary on 15 December 2024 and keep at least EUR 600 available."
request_119,54750.26,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-07-15,reduce_to:event_11057:2370,"Reduce the family dinner to INR 2,370, then use 3 installments of INR 70,546.67, starting 18 May 2025 (total INR 211,640.01). Paying INR 203,500 today is not safe (only INR 54,750.26 is available above the INR 151,200 minimum); the installments are covered by the INR 176,000 salary on 15 May 2025 and keep at least INR 151,200 available."
request_120,7119150.78,affordable_with_plan,full_payment,2026-04-06:7714000,2026-04-15,stop:event_11086,"Stop the video streaming plan, then pay IDR 7,714,000 today. Without these changes only IDR 7,119,150.78 is safe today and the full amount is not safe until 15 April 2026, past the 14 April 2026 deadline; with them the balance stays above the IDR 20,050,300 minimum, helped by the IDR 23,750,000 salary on 15 April 2026."
request_121,612.43,affordable_with_plan,full_payment,2024-03-03:633.60,2024-03-15,stop:event_11163|reduce_to:event_11165:8,"Reduce the games and recreation to USD 8 and stop the food delivery membership, then pay USD 633.60 today. Without these changes only USD 612.43 is safe today and the full amount is not safe until 15 March 2024, past the 14 March 2024 deadline; with them the balance stays above the USD 800 minimum, helped by the USD 1,056 salary on 15 March 2024."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025 (total IDR 21,380,319.99). You do not accept a single full payment; the installments are covered by the IDR 15,390,000 invoice payment on 15 August 2025 and keep at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. Even after paying, the balance stays above the IDR 18,091,200 minimum for the next 90 days (lowest point IDR 18,319,751.93 on 7 April 2026 (including the reserved IDR 1,388,900 pending pharmacy card charge on 11 January 2026))."
request_124,1244.59,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-15,stop:event_11448|reduce_to:event_11480:38,"Reduce the family dinner to EUR 38 and stop the music service subscription, then use 3 installments of EUR 1,076.12, starting 11 June 2024 (total EUR 3,228.36). Paying EUR 3,104.20 today is not safe (only EUR 1,244.59 is available above the EUR 1,600 minimum); the installments are covered by the EUR 2,629 salary on 15 June 2024 and keep at least EUR 1,600 available."
request_125,6361.03,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,stop:event_11519,"Stop the cloud storage plan, then pay ZAR 6,468 today. Without these changes only ZAR 6,361.03 is safe today and the full amount is not safe until 15 November 2025, past the 14 November 2025 deadline; with them the balance stays above the ZAR 11,300 minimum, helped by the ZAR 14,960 salary on 15 November 2025."
request_126,157123.84,affordable_with_plan,full_payment,2026-07-03:159600,,stop:event_11636,"Stop the online backup subscription, then pay INR 159,600 today. Without these changes only INR 157,123.84 is safe today and the full amount is not safe within the forecast window; with them the balance stays above the INR 129,700 minimum, helped by the INR 152,000 invoice payment on 15 July 2026."
request_127,10811.53,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23,980 in full. Only ZAR 10,811.53 is safe today: paying earlier would take the balance below the ZAR 41,000 minimum (lowest projected balance ZAR 51,811.53 on 14 September 2024); after the ZAR 50,160 salary on 15 September 2024 the full payment keeps the minimum protected."
request_128,24249.23,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,reduce_to:event_11812:1058.20,"Reduce the cinema and events to ZAR 1,058.20, then pay ZAR 25,168 today. Without these changes only ZAR 24,249.23 is safe today and the full amount is not safe until 15 February 2025, past the 14 February 2025 deadline; with them the balance stays above the ZAR 42,600 minimum, helped by the ZAR 55,220 salary on 15 February 2025."
request_129,54.28,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 54.28 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at USD 854.28 on 12 April 2026 against the USD 800 minimum, and the USD 1,020 salary on 15 April 2026."
request_130,436.8,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Only USD 436.80 is safe today: paying earlier would take the balance below the USD 1,400 minimum (lowest projected balance USD 1,836.80 on 14 December 2024); after the USD 2,177.28 salary on 15 December 2024 the full payment keeps the minimum protected."
request_131,1119.97,not_affordable,not_recommended,none,2025-07-23,none,"Do not make this payment by 8 July 2025. Only USD 1,119.97 is safe today and the full USD 1,855.20 only becomes safe on 23 July 2025, but you only accept installments, and none of those keeps the USD 1,100 minimum protected."
request_132,255.9,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Wait until 15 February 2026, then pay USD 379.86 in full. Only USD 255.90 is safe today: paying earlier would take the balance below the USD 1,100 minimum (lowest projected balance USD 1,355.90 on 13 January 2026); after the USD 1,193.40 salary on 15 January 2026 the full payment keeps the minimum protected."
request_133,714453.5,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 714,453.50 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at IDR 10,700,653.50 on 4 June 2024 against the IDR 9,986,200 minimum, and no confirmed income is projected in the window."
request_134,4920425.14,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Only IDR 4,920,425.14 is safe today: paying earlier would take the balance below the IDR 15,902,500 minimum (lowest projected balance IDR 20,822,925.14 on 14 August 2025); after the IDR 24,510,000 salary on 15 August 2025 the full payment keeps the minimum protected."
request_135,281.8,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. Without these changes only USD 281.80 is safe today and the full amount is not safe until 15 July 2026, past the 14 July 2026 deadline; with them the balance stays above the USD 500 minimum, helped by the USD 828 salary on 15 July 2026."
request_136,528.47,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. Without these changes only USD 528.47 is safe today and the full amount is not safe until 15 June 2024, past the 14 June 2024 deadline; with them the balance stays above the USD 1,100 minimum, helped by the USD 1,548 salary on 15 June 2024."
request_137,19149.18,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Only INR 19,149.18 is safe today: paying earlier would take the balance below the INR 71,800 minimum (lowest projected balance INR 90,949.18 on 14 December 2025); after the INR 114,000 salary on 15 November 2025 the full payment keeps the minimum protected."
request_138,595.5,affordable_with_plan,partial_payment,2026-04-07:595.50|2026-04-15:661.44,2026-04-15,none,"Pay EUR 595.50 today and the remaining EUR 661.44 on 15 April 2026. EUR 595.50 is the most the balance can absorb before the EUR 2,695 salary on 15 April 2026; the second payment completes the request by the 5 June 2026 deadline and keeps the EUR 2,300 minimum protected."
request_139,1371.79,not_affordable,not_recommended,none,2024-10-15,none,"Do not make this payment by 17 November 2024. Only USD 1,371.79 is safe today and the full USD 2,316 only becomes safe on 15 October 2024, but you only accept partial payment, installments, and none of those keeps the USD 1,500 minimum protected."
request_140,1532.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,532.81 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at ZAR 23,132.81 on 12 February 2025 (including the reserved ZAR 2,004.20 pending online order charge on 7 February 2025) against the ZAR 21,600 minimum, and the ZAR 31,900 salary on 15 February 2025."
request_141,21472.19,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 21,472.19 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 88,772.19 on 14 January 2026 (including the reserved INR 3,810 pending fuel authorization on 5 January 2026) against the INR 67,300 minimum, and the INR 97,000 salary on 15 January 2026."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. Even after paying, the balance stays above the USD 1,700 minimum for the next 90 days (lowest point USD 3,594.46 on 5 March 2025 (including the reserved USD 65 pending merchant debit on 8 December 2024)), with the USD 2,040 invoice payment on 15 December 2024."
request_143,3031.57,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Only ZAR 3,031.57 is safe today: paying earlier would take the balance below the ZAR 11,300 minimum (lowest projected balance ZAR 14,331.57 on 13 May 2025 (including the reserved ZAR 426.80 pending pharmacy card charge on 11 May 2025)); after the ZAR 14,960 salary on 15 May 2025 the full payment keeps the minimum protected."
request_144,190.26,affordable_later,wait,2026-07-15:233.34,2026-07-15,none,"Wait until 15 July 2026, then pay USD 233.34 in full. Only USD 190.26 is safe today: paying earlier would take the balance below the USD 600 minimum (lowest projected balance USD 790.26 on 14 July 2026 (including the reserved USD 51 scheduled insurance payment on 11 July 2026)); after the USD 864 salary on 15 July 2026 the full payment keeps the minimum protected."
request_145,27048.49,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13341:2920|reduce_to:event_13409:3335,"Reduce the takeaway order to INR 3,335 and reduce the video streaming plan to INR 2,920, then use 3 installments of INR 75,365.33, starting 20 March 2024 (total INR 226,095.99). Paying INR 217,400 today is not safe (only INR 27,048.49 is available above the INR 155,400 minimum); the installments are covered by the INR 258,000 salary on 15 March 2024 and keep at least INR 155,400 available."
request_146,9137.16,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 9,137.16 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 117,737.16 on 13 August 2025 against the INR 108,600 minimum, and the INR 168,000 salary on 15 August 2025."
request_147,388.92,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,stop:event_13520,"Stop the online backup subscription, then use 3 installments of EUR 391.63, starting 8 April 2026 (total EUR 1,174.89). Paying EUR 1,129.70 today is not safe (only EUR 388.92 is available above the EUR 900 minimum); the installments are covered by the EUR 1,529 salary on 15 April 2026 and keep at least EUR 900 available."
request_148,7157.71,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13592,"Stop the food delivery membership, then use 3 installments of ZAR 7,710.56, starting 14 June 2024 (total ZAR 23,131.68). Paying ZAR 22,242 today is not safe (only ZAR 7,157.71 is available above the ZAR 20,000 minimum); the installments are covered by the ZAR 35,640 salary on 15 June 2024 and keep at least ZAR 20,000 available."
request_149,22834,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025 (total ZAR 38,118.09). Paying ZAR 36,652 today is not safe (only ZAR 22,834 is available above the ZAR 42,100 minimum); the installments are covered by the ZAR 52,360 salary on 15 November 2025 and keep at least ZAR 42,100 available."
request_150,310.44,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786,"Stop the family streaming plan, then use 3 installments of EUR 171.98, starting 6 January 2026 (total EUR 515.94). Paying EUR 496.10 today is not safe (only EUR 310.44 is available above the EUR 700 minimum); the installments are covered by the EUR 893.75 salary on 15 January 2026 and keep at least EUR 700 available."
request_151,26661580.08,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-15,reduce_to:event_13923:633650,"Reduce the coffee shop to IDR 633,650, then pay IDR 26,999,000 today. Without these changes only IDR 26,661,580.08 is safe today and the full amount is not safe until 15 September 2024, past the 14 September 2024 deadline; with them the balance stays above the IDR 31,633,600 minimum, helped by the IDR 46,170,000 salary on 15 September 2024."
request_152,10584.56,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13957|reduce_to:event_14024:234.30,"Reduce the coffee shop to ZAR 234.30 and stop the music subscription, then use 3 installments of ZAR 4,812.43, starting 12 February 2025 (total ZAR 14,437.29). Paying ZAR 13,882 today is not safe (only ZAR 10,584.56 is available above the ZAR 11,900 minimum); the installments are covered by the ZAR 13,640 salary on 15 February 2025 and keep at least ZAR 11,900 available."
request_153,67.28,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 67.28 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at USD 1,467.28 on 14 September 2026 against the USD 1,400 minimum, and the USD 1,630.64 salary on 15 July 2026."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024 (total EUR 1,690.83). You do not accept a single full payment; the installments are covered by the EUR 1,009.36 salary on 15 December 2024 and keep at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. Even after paying, the balance stays above the INR 56,300 minimum for the next 90 days (lowest point INR 73,161.52 on 14 May 2025), with the INR 84,000 salary on 15 May 2025."
request_156,6403.19,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Only ZAR 6,403.19 is safe today: paying earlier would take the balance below the ZAR 26,900 minimum (lowest projected balance ZAR 33,303.19 on 11 April 2026 (including the reserved ZAR 1,617 possible duplicate card charge on 6 April 2026)); after the ZAR 32,340 salary on 15 April 2026 the full payment keeps the minimum protected."
request_157,4806425.93,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Only IDR 4,806,425.93 is safe today: paying earlier would take the balance below the IDR 15,714,100 minimum (lowest projected balance IDR 20,520,525.93 on 14 March 2024); after the IDR 23,940,000 salary on 15 March 2024 the full payment keeps the minimum protected."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025 (total INR 252,303.99). You do not accept a single full payment; the spread-out installments fit the existing balance and keep at least INR 131,400 available."
request_159,507.7,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 507.70 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at ZAR 9,207.70 on 4 April 2026 against the ZAR 8,700 minimum, and no confirmed income is projected in the window."
request_160,465.41,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024 (total EUR 1,296.15). Paying EUR 1,246.30 today is not safe (only EUR 465.41 is available above the EUR 1,200 minimum); the installments are covered by the EUR 1,672 salary on 15 June 2024 and keep at least EUR 1,200 available."
request_161,5427343.57,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Only IDR 5,427,343.57 is safe today: paying earlier would take the balance below the IDR 23,010,400 minimum (lowest projected balance IDR 28,437,743.57 on 14 November 2025 (including the reserved IDR 1,056,400 pending fuel authorization on 5 November 2025)); after the IDR 26,790,000 salary on 15 November 2025 the full payment keeps the minimum protected."
request_162,1331595.78,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,331,595.78 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at IDR 25,492,695.78 on 11 July 2026 (including the reserved IDR 1,844,900 pending merchant debit on 8 July 2026) against the IDR 24,161,100 minimum, and the IDR 29,070,000 salary on 15 July 2026."
request_163,10082551.11,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024 (total IDR 20,076,159.99). Paying IDR 19,304,000 today is not safe (only IDR 10,082,551.11 is available above the IDR 26,728,700 minimum); the installments are covered by the IDR 30,400,000 salary on 15 September 2024 and keep at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025 (total IDR 28,098,720). You do not accept a single full payment; the installments are covered by the IDR 26,562,000 salary on 15 February 2025 and keep at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. Even after paying, the balance stays above the INR 95,000 minimum for the next 90 days (lowest point INR 109,293.81 on 4 July 2026)."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024 (total USD 3,023.91). You do not accept a single full payment; the installments are covered by the USD 2,340 invoice payment on 15 December 2024 and keep at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. Even after paying, the balance stays above the ZAR 31,200 minimum for the next 90 days (lowest point ZAR 37,941.51 on 17 May 2025), with the ZAR 47,740 salary on 23 May 2025."
request_168,29894.66,affordable_with_plan,partial_payment,2026-01-07:29894.66|2026-02-15:19485.34,2026-02-15,none,"Pay INR 29,894.66 today and the remaining INR 19,485.34 on 15 February 2026. INR 29,894.66 is the most the balance can absorb before the INR 137,150 salary on 15 January 2026; the second payment completes the request by the 16 March 2026 deadline and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. Even after paying, the balance stays above the ZAR 18,700 minimum for the next 90 days (lowest point ZAR 24,890.80 on 14 March 2024), with the ZAR 33,000 salary on 15 March 2024."
request_170,30534419.42,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025 (total IDR 38,413,440). Paying IDR 36,936,000 today is not safe (only IDR 30,534,419.42 is available above the IDR 24,715,800 minimum); the installments are covered by the IDR 38,760,000 salary on 15 August 2025 and keep at least IDR 24,715,800 available."
request_171,34.59,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 34.59 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at EUR 534.59 on 12 July 2026 against the EUR 500 minimum, and the EUR 693 salary on 15 July 2026."
request_172,7534.12,affordable_with_plan,partial_payment,2024-06-05:7534.12|2024-06-15:2665.88,2024-06-15,none,"Pay ZAR 7,534.12 today and the remaining ZAR 2,665.88 on 15 June 2024. ZAR 7,534.12 is the most the balance can absorb before the ZAR 34,540 salary on 15 June 2024; the second payment completes the request by the 15 July 2024 deadline and keeps the ZAR 27,200 minimum protected."
request_173,59525.77,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025 (total INR 117,519.99). Paying INR 113,000 today is not safe (only INR 59,525.77 is available above the INR 79,100 minimum); the installments are covered by the INR 106,995.72 salary on 15 November 2025 and keep at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026 (total EUR 1,192.05). You do not accept a single full payment; the spread-out installments fit the existing balance and keep at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. Even after paying, the balance stays above the EUR 1,700 minimum for the next 90 days (lowest point EUR 2,049.99 on 13 September 2024), with the EUR 1,924.56 salary on 15 September 2024."
request_176,38.81,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 38.81 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at EUR 638.81 on 12 April 2025 against the EUR 600 minimum, and the EUR 508.20 salary on 15 February 2025."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. Even after paying, the balance stays above the USD 1,300 minimum for the next 90 days (lowest point USD 1,455.87 on 14 January 2026), with the USD 1,731.60 salary on 15 January 2026."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024 (total EUR 3,055.62). You do not accept a single full payment; the installments are covered by the EUR 2,376 invoice payment on 15 December 2024 and keep at least EUR 1,400 available."
request_179,9764337.7,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Only IDR 9,764,337.70 is safe today: paying earlier would take the balance below the IDR 41,430,800 minimum (lowest projected balance IDR 51,195,137.70 on 13 May 2025); after the IDR 48,830,000 salary on 15 May 2025 the full payment keeps the minimum protected."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. Even after paying, the balance stays above the INR 37,300 minimum for the next 90 days (lowest point INR 47,363.99 on 12 July 2026 (including the reserved INR 2,290 pending online order charge on 7 July 2026)), with the INR 59,000 salary on 15 July 2026."
request_181,118.66,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 118.66 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at USD 2,118.66 on 14 March 2024 (including the reserved USD 129 scheduled bill payment retry on 7 March 2024) against the USD 2,000 minimum, and the USD 2,580 salary on 15 March 2024."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. Even after paying, the balance stays above the ZAR 31,100 minimum for the next 90 days (lowest point ZAR 41,104 on 13 August 2025 (including the reserved ZAR 1,243 pending merchant debit on 8 August 2025)), with the ZAR 52,800 salary on 15 August 2025."
request_183,23577814.2,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026 (total IDR 27,940,640.01). Paying IDR 26,866,000 today is not safe (only IDR 23,577,814.20 is available above the IDR 11,878,300 minimum); the installments are covered by the IDR 20,899,995.60 salary on 15 April 2026 and keep at least IDR 11,878,300 available."
request_184,6666.02,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 6,666.02 is available today, the full amount cannot be completed safely within 90 days: the projected balance bottoms out at INR 117,466.02 on 13 June 2024 (including the reserved INR 4,820 scheduled school fee on 11 June 2024) against the INR 110,800 minimum, and the INR 131,994.72 salary on 15 June 2024."
request_185,312.6,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Only EUR 312.60 is safe today: paying earlier would take the balance below the EUR 1,300 minimum (lowest projected balance EUR 1,612.60 on 12 November 2025); after the EUR 1,562 salary on 15 November 2025 the full payment keeps the minimum protected."
request_186,6307.33,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554 in full on 15 March 2026. Only ZAR 6,307.33 is safe today: paying earlier would take the balance below the ZAR 22,000 minimum (lowest projected balance ZAR 28,307.33 on 13 January 2026); after the ZAR 31,889 salary on 15 January 2026 the full payment keeps the minimum protected."
